agency,site,date,discharge_cfs,height_ft
USGS,6719505,2013-09-10 17:30,4.95,288
USGS,6719505,2013-09-10 17:45,4.97,295
USGS,6719505,2013-09-10 18:00,4.97,295
USGS,6719505,2013-09-10 18:15,5.02,314
USGS,6719505,2013-09-10 18:30,5.09,338
USGS,6719505,2013-09-10 18:45,5.16,367
USGS,6719505,2013-09-10 19:00,5.14,360
USGS,6719505,2013-09-10 19:15,5.11,345
USGS,6719505,2013-09-10 19:30,5.09,338
USGS,6719505,2013-09-10 19:45,5.1,342
USGS,6719505,2013-09-10 20:00,5.09,338
USGS,6719505,2013-09-10 20:15,5.1,342
USGS,6719505,2013-09-10 20:30,5.08,335
USGS,6719505,2013-09-10 20:45,5.06,328
USGS,6719505,2013-09-10 21:00,5.03,318
USGS,6719505,2013-09-10 21:15,5.01,311
USGS,6719505,2013-09-10 21:30,5,308
USGS,6719505,2013-09-10 21:45,4.99,304
USGS,6719505,2013-09-10 22:00,5,308
USGS,6719505,2013-09-10 22:15,5.08,335
USGS,6719505,2013-09-10 22:30,5.09,338
USGS,6719505,2013-09-10 22:45,5.07,331
USGS,6719505,2013-09-10 23:00,5.07,331
USGS,6719505,2013-09-10 23:15,5.03,318
USGS,6719505,2013-09-10 23:30,5.02,314
USGS,6719505,2013-09-10 23:45,5.01,311
USGS,6719505,2013-09-11 00:00,5.06,328
USGS,6719505,2013-09-11 00:15,5.09,338
USGS,6719505,2013-09-11 00:30,5.08,335
USGS,6719505,2013-09-11 00:45,5.08,335
USGS,6719505,2013-09-11 01:00,5.05,324
USGS,6719505,2013-09-11 01:15,5.04,321
USGS,6719505,2013-09-11 01:30,5.04,321
USGS,6719505,2013-09-11 01:45,5.02,314
USGS,6719505,2013-09-11 02:00,5.02,314
USGS,6719505,2013-09-11 02:15,5.03,318
USGS,6719505,2013-09-11 02:30,5.08,335
USGS,6719505,2013-09-11 02:45,5.12,349
USGS,6719505,2013-09-11 03:00,5.16,367
USGS,6719505,2013-09-11 03:15,5.16,367
USGS,6719505,2013-09-11 03:30,5.16,367
USGS,6719505,2013-09-11 03:45,5.15,363
USGS,6719505,2013-09-11 04:00,5.18,375
USGS,6719505,2013-09-11 04:15,5.19,378
USGS,6719505,2013-09-11 04:30,5.19,378
USGS,6719505,2013-09-11 04:45,5.2,382
USGS,6719505,2013-09-11 05:00,5.2,382
USGS,6719505,2013-09-11 05:15,5.18,375
USGS,6719505,2013-09-11 05:30,5.17,371
USGS,6719505,2013-09-11 05:45,5.17,371
USGS,6719505,2013-09-11 06:00,5.19,378
USGS,6719505,2013-09-11 06:15,5.2,382
USGS,6719505,2013-09-11 06:30,5.19,378
USGS,6719505,2013-09-11 06:45,5.2,382
USGS,6719505,2013-09-11 07:00,5.18,375
USGS,6719505,2013-09-11 07:15,5.17,371
USGS,6719505,2013-09-11 07:30,5.19,378
USGS,6719505,2013-09-11 07:45,5.19,378
USGS,6719505,2013-09-11 08:00,5.19,378
USGS,6719505,2013-09-11 08:15,5.19,378
USGS,6719505,2013-09-11 08:30,5.19,378
USGS,6719505,2013-09-11 08:45,5.08,335
USGS,6719505,2013-09-11 09:00,5.08,335
USGS,6719505,2013-09-11 09:15,5.08,335
USGS,6719505,2013-09-11 09:30,5.08,335
USGS,6719505,2013-09-11 09:45,5.08,335
USGS,6719505,2013-09-11 10:00,5.08,335
USGS,6719505,2013-09-11 10:15,5.07,331
USGS,6719505,2013-09-11 10:30,5.05,324
USGS,6719505,2013-09-11 10:45,5.06,328
USGS,6719505,2013-09-11 11:00,5.06,328
USGS,6719505,2013-09-11 11:15,5.06,328
USGS,6719505,2013-09-11 11:30,5.06,328
USGS,6719505,2013-09-11 11:45,5.05,324
USGS,6719505,2013-09-11 12:00,5.06,328
USGS,6719505,2013-09-11 12:15,5.06,328
USGS,6719505,2013-09-11 12:30,5.05,324
USGS,6719505,2013-09-11 12:45,5.06,328
USGS,6719505,2013-09-11 13:00,5.04,321
USGS,6719505,2013-09-11 13:15,5.02,314
USGS,6719505,2013-09-11 13:30,5.01,311
USGS,6719505,2013-09-11 13:45,5,308
USGS,6719505,2013-09-11 14:00,5,308
USGS,6719505,2013-09-11 14:15,5,308
USGS,6719505,2013-09-11 14:30,5.01,311
USGS,6719505,2013-09-11 14:45,4.98,301
USGS,6719505,2013-09-11 15:00,4.99,304
USGS,6719505,2013-09-11 15:15,4.99,304
